season,year,avg_cloud_cover,total_sunshine,avg_radiation,max_temp,avg_temp,min_temp,total_precip,avg_pressure,max_snow_depth
Spring,2006,5.606060606060606,239.29999981820583,121.06060606060606,21.5,8.671212139003204,-4.4,89.19999998807907,101254.24242424243,0
Winter,2006,5.8375,147.89999990165234,34.45,13.4,5.488750043977052,-2.6,107.19999994337559,101973.125,0
Autumn,2007,4.55,132.59999999403954,50.975,17.4,8.42749993801117,-2.4,90.40000154078007,102227.75,0
Spring,2007,3.7746478873239435,429.0000018402934,158.1267605633803,24.7,11.291549236002103,-1.4,74.40000002086163,101756.76056338029,0
Winter,2007,5.397590361445783,163.2000004425645,33.602409638554214,14.7,6.8542168811861295,-5.2,176.9000001102686,101571.92771084337,3
Autumn,2008,5.052631578947368,93.8999991863966,42.973684210526315,15.5,7.821052670478821,-2.2,73.79999922215939,101342.36842105263,0
Spring,2008,5.0701754385964914,221.40000039339066,123.54385964912281,20.8,8.194736842523541,-2.9,117.40000063180923,100936.84210526316,2
Winter,2008,4.813953488372093,241.39999982714653,40.51162790697674,14.9,6.1662790463414305,-4,119.39999866485596,101775.69767441861,0
Autumn,2009,5.3,138.49999997764826,49.78333333333333,20,11.376666688919068,2.4,187.39999973773956,100887.66666666667,0
Spring,2009,4.131578947368421,201.90000040829182,127.71052631578948,17.9,8.842105238061203,-1.1,31.80000050365925,101552.1052631579,0
Winter,2009,5.529411764705882,173.10000057518482,33.72941176470588,12.9,4.009411768176976,-6.8,195.2000006735325,101021.41176470589,12
Autumn,2010,5.916666666666667,59.600000351667404,34.888888888888886,18.5,7.411111098610693,-4.8,44.79999989271164,100640.55555555556,0
Spring,2010,4.315789473684211,291.99999932199717,136.6315789473684,21,8.710526290692782,-4.2,56.000000804662704,101809.64912280702,0
Winter,2010,6.056179775280899,116.49999994039536,28.921348314606742,12.1,2.4348314653956487,-9.4,173.6000008881092,101116.06741573034,7
Autumn,2011,5.0754716981132075,153.5999991968274,53.15094339622642,21.1,11.771698097013077,0.2,42.59999988973141,101684.15094339622,0
Spring,2011,4.186046511627907,218.20000034570694,126.4186046511628,23,9.499999994455381,-2.4,16.400000259280205,102242.79069767441,0
Winter,2011,5.965909090909091,132.4000003039837,29.78409090909091,14.4,6.515909094702113,-2.2,171.6000002026558,101531.02272727272,0
Autumn,2012,4.8791208791208796,339.89999993145466,79.95604395604396,28.3,11.351648349028368,-1.6,201.39999917149544,101150.98901098901,0
Spring,2012,4.3076923076923075,485.2000003904104,155.37362637362637,27.6,10.974725309309068,-0.9,139.99999937415123,101619.23076923077,0
Summer,2012,5.043478260869565,462.69999758154154,181.52173913043478,30.5,17.25000006219615,5.9,219.0000008493662,101307.93478260869,0
Winter,2012,5.054945054945055,211.4000004157424,36.604395604395606,16.8,5.719780225020188,-7.6,147.0000005364418,101954.61538461539,7
Autumn,2013,4.670329670329671,288.9000018388033,73.42857142857143,29.5,12.278021990597903,-2.9,180.9999995827675,101479.45054945054,0
Spring,2013,5.108695652173913,388.40000312030315,140.67391304347825,22.8,8.405434751154289,-3.4,128.5999999344349,101204.78260869565,0
Summer,2013,3.119565217391304,624.400003887713,210.33695652173913,34.1,18.767391267030135,7.4,69.40000067651272,101871.08695652174,0
Winter,2013,5.522222222222222,150.70000079274178,31.72222222222222,13.8,5.0855555342303385,-4.9,181.1000012010336,101545.77777777778,5
Autumn,2014,4.1098901098901095,289.500001065433,75.54945054945055,25.8,13.721977983202253,-0.2,215.2000000178814,101295.93406593407,0
